protein,loading,abs_loading
V535,0.0492825264427845,0.0492825264427845
V1756,0.0488921930526441,0.0488921930526441
V929,0.0488348168808665,0.0488348168808665
V932,0.04835232366040908,0.04835232366040908
V2694,0.04810359165543893,0.04810359165543893
V220,0.04797253403699695,0.04797253403699695
V780,0.04780306891586002,0.04780306891586002
V75,0.04757290443379047,0.04757290443379047
V2660,-0.0472940959411154,0.0472940959411154
V2130,0.04717593984277307,0.04717593984277307
V1954,0.04708636121860037,0.04708636121860037
V2132,0.04698184798829659,0.04698184798829659
V2903,0.04681073745053781,0.04681073745053781
V3027,0.04678982955428528,0.04678982955428528
V102,0.04672256457270161,0.04672256457270161
V2681,0.04665115148834781,0.04665115148834781
V2192,0.04664958158576624,0.04664958158576624
V515,0.04664111259136074,0.04664111259136074
V1416,0.04654038378236167,0.04654038378236167
V2264,0.04643185580098012,0.04643185580098012
