feature,loading,abs_loading
V6547,-0.02089680638035057,0.02089680638035057
V17570,-0.0205041050311626,0.0205041050311626
V17571,-0.0205041050311626,0.0205041050311626
V11752,-0.02034760570873993,0.02034760570873993
V2491,-0.01992476684344863,0.01992476684344863
V8055,-0.01965824407875144,0.01965824407875144
V9334,-0.01956579871394033,0.01956579871394033
V811,-0.01956129600435246,0.01956129600435246
V8288,-0.01943717013861252,0.01943717013861252
V4332,-0.01930515487128815,0.01930515487128815
V9809,-0.01928108841786276,0.01928108841786276
V6654,-0.01925545381340334,0.01925545381340334
V1901,-0.0191714261566427,0.0191714261566427
V20631,-0.01904695568134041,0.01904695568134041
V8077,-0.01896828696501349,0.01896828696501349
V9390,-0.01896362454308512,0.01896362454308512
V1758,-0.01894417628044858,0.01894417628044858
V19197,-0.01893999766643789,0.01893999766643789
V15478,-0.0188855597591516,0.0188855597591516
V11830,-0.0188775282172831,0.0188775282172831
