feature,loading,abs_loading
V16245,-0.01350717309701121,0.01350717309701121
V16246,-0.01350717309701121,0.01350717309701121
V7925,-0.01340092555251466,0.01340092555251466
V7926,-0.01340092555251466,0.01340092555251466
V5310,-0.01334238069261723,0.01334238069261723
V5125,-0.01316097376288282,0.01316097376288282
V5126,-0.01316097376288282,0.01316097376288282
V19184,-0.01315190185241952,0.01315190185241952
V19185,-0.01315190185241952,0.01315190185241952
V13812,-0.01315032027939545,0.01315032027939545
V13813,-0.01315032027939545,0.01315032027939545
V10116,-0.01313323973964414,0.01313323973964414
V13167,-0.01305940642075771,0.01305940642075771
V11042,-0.01305834140549139,0.01305834140549139
V16257,-0.01301644202908165,0.01301644202908165
V16258,-0.01301644202908165,0.01301644202908165
V10227,-0.01299866854063922,0.01299866854063922
V10228,-0.01299866854063922,0.01299866854063922
V5426,-0.01298985274802389,0.01298985274802389
V5427,-0.01298985274802389,0.01298985274802389
