gene,loading
V14554,0.01801777814872757
V13840,0.01778488005008695
V18246,0.01777986450524523
V18789,0.01761708163050899
V24454,0.0175258105956658
V13699,0.01740733443069904
V21950,0.01738853703836131
V20270,0.01736593106903016
V16456,0.01736061745056171
V7510,0.0173339041636745
V18757,0.01731122336621553
V19842,0.01729278906257978
V13221,0.0172904710097518
V22809,0.01728974577590531
V23098,0.01716230288874896
V12507,0.01715893591413566
V24526,0.01715229967885918
V469,0.01714667184296552
V10177,0.01712493122793621
V9804,0.01705258033541592
V16191,0.01697281920419477
V13283,0.01695662724368682
V12690,0.01694592068410956
V22973,0.01690148386803106
V5457,0.01688183031646398
V20088,0.01687676310499294
V19341,0.0168537946404543
V4042,0.01683986098611924
V25199,0.01680277034692856
V17357,0.01675252517272722
V23331,0.01669375454491762
V18647,0.01668872851724024
V21809,0.0166598572719069
V23099,0.01665526692901759
V15778,0.01664314198478406
V8274,0.01661724794985353
V20952,0.01661238072037511
V1820,0.01659908901718241
V16234,0.0165799663707085
V15091,0.01655974972945528
V25838,0.01654112512942545
V25749,0.0165232506690046
V13813,0.01651278922504479
V14056,0.0164931883340274
V8624,0.01648020981666515
V20112,0.01647428875647618
V18673,0.01647163057777161
V19010,0.01645295181949174
V19086,0.01644945103788797
V8275,0.0164458056435379
