cell_line,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
BR:MCF7,-12.891900674791852,58.33395014913558,-43.928920074031794,54.85845204302192,20.338942517606437,-10.484598962460389,39.10887735207,-26.315755789397432,42.71108406657227,-0.8401766272124005,22.354171371222535,-25.763099076387793,21.17134402799619,-8.532745918896415,8.052766843578805,0.5421534288656067,17.027350992507998,-28.811908098816378,22.62115004760785,2.6461211274824366,33.53163936709769,-10.319315770673605,-32.214675346043386,42.772067443113166,16.255022558012424,31.936725096485993,-56.37269154056515,-33.89004351647645,-29.57527968900311,15.522401424359819
BR:MDA-MB-231,35.04973359608957,-16.06410172585496,9.362926791076863,-19.79950273438202,26.39906523846531,5.9432176498456855,7.775345173702562,-2.5586114839327476,-8.126241214742898,-11.466817017047552,23.807178806524217,-0.7623185216794925,3.666261694857095,28.303277256210784,-24.66028600918888,3.8081504775523305,-10.939194951531807,23.850081146828234,12.454575364679366,21.090163634252928,35.40437615823391,17.362103617564994,-27.05627231536239,19.180213080274825,-30.461443317798796,3.8664129840519106,14.658788593842774,-5.578701546064238,13.699877463374888,-7.763050124314753
BR:HS 578T,65.81680535935432,-64.75612193695889,25.812541257008228,0.4715091211416813,6.1697843137021415,48.49707431658947,-8.121620817379073,-25.42821895861853,-4.507535732635966,-7.43590332916034,17.942227075878925,26.048077681969787,14.565419315927933,-8.142989339216665,-25.44436537703393,6.313702653195678,17.371564685352386,-11.76765326398923,-4.323928847088741,-15.333536474047643,-15.213292216482838,-16.154378376699068,-32.800151415007186,-3.307342691800764,-28.772248231526152,0.6240009474250278,-26.758324264984143,19.429760604927186,-26.090787264696115,-27.760145591534194
BR:BT-549,38.74083701850988,-27.86739147006953,18.64899287516332,-20.65120857859418,34.450226801500456,29.21077682635315,14.858846513979815,-26.171314397543654,-1.360240009213746,-21.428675350156407,2.2622829088677534,14.549842317728954,12.67403151704332,-17.971172481400373,-15.71025162482964,32.0868497654177,18.247642821082827,-31.83539708703255,13.152214508327486,-2.9630526349625126,-19.303185297182946,20.217307787599815,11.437238050096042,-26.306096205532914,-8.315175297440613,27.76179307935068,-16.987102006652506,-9.30454318627469,39.410800669494265,-7.624121031442154
BR:T-47D,-18.126681728539545,30.581741806931685,-88.0200384668703,80.08354915668893,36.073855360650704,-1.1374123436940478,55.292438200646444,-53.7791997022609,68.94971990784137,14.854376942181357,64.79607371649357,-15.509023432215185,-8.402934173858338,-9.886023645429693,6.2866968606211895,-25.904692142965192,-19.14576922167284,-1.2447571270270321,-19.473428567385273,-11.453930306533062,8.926958070785025,-8.627840269198924,13.890436980814556,-42.581349153307784,-1.0310988217346635,-6.193584478340448,24.94941119602569,34.119915859548065,22.886306560138344,2.623681141349927
CNS:SF-268,-35.238570164315064,-43.89903180609926,-7.237269508644484,-44.17199822691243,81.69654124953308,8.327637456529205,15.618134105903694,-7.14374787632444,-17.367430369009405,1.8469908541232196,1.9784607559591727,32.48827301160327,-0.912306875633198,21.003343422761972,26.352580016667787,-18.035811677725814,7.163286576946629,8.688761888507441,-29.426147375616434,-3.2375631656865194,15.867086143833204,-0.6334584909705901,20.26866953364504,-12.46398314291315,-12.942572696720816,22.771614612846083,-11.309137858434376,-19.32426522160133,-46.052943723199206,4.061832025506976
CNS:SF-295,-11.507901000398421,-29.614021181864942,-5.055773597074028,-31.002878999784972,19.78953285087791,75.46997392604244,17.05791948836737,15.133921899042935,8.704912888494702,3.0643170231702763,4.58732618837705,-14.973478340789635,17.580152458446804,-6.764379184965585,26.09783068521604,-12.490444597900169,-11.195822500643967,-2.3282635176441926,-13.267571647965305,-5.887248757264147,-0.3153460537960028,-0.4909595539588837,-6.956426966247379,36.181243952739386,14.722675971269256,-22.898839797554203,22.174481808527457,26.315647289390455,-37.57866921587075,-10.42940433971125
CNS:SF-539,15.207162848898577,-47.38158946070471,2.4970671316907707,-4.789546284517184,26.809356746887985,37.60162047747415,-7.0669811987811215,-9.989846182155933,3.141821333979175,3.9449523888397313,3.222968349407185,0.6939083284947487,9.703951120647119,-8.727353522373962,-7.703968347188334,-9.29674971265447,14.566102075049722,-8.436721729452756,10.372159039019481,-25.011799311637752,-11.304560107558528,4.709099265813282,-2.5238978888612724,5.008419791059876,12.229554386856172,-12.953298776353577,-7.3114875462076485,2.0365606364813877,15.604622894733625,0.05019226354848563
CNS:SNB-19,26.177128584726567,-25.343906730446083,22.114292269797463,-0.7688592504973275,30.78150082022476,41.52540715870142,5.92249860204679,1.961006446098076,-26.509291698325054,-9.336304219891973,-24.385275165655525,-8.421492135648714,-2.6885976560626776,9.825175602566494,35.160415245791654,-41.496105728276255,-14.770732069827027,7.771039853278781,2.9833632181836567,18.418312255716756,24.529789855378773,19.48714480737039,-8.856428599164992,-0.052768433604467785,21.99986540479069,-2.9053953748940557,6.869571380461778,-12.230086215740437,7.423073063778805,32.52448842012972
CNS:SNB-75,7.478349454880955,-74.78073082623843,-5.914664658680469,23.06247011015893,52.34108979800593,62.29199968468516,-29.182576401046752,-32.76370438083827,15.569737313788519,-2.9060036944764356,-4.121468401759991,17.986996234477136,17.458509281361415,-7.228159347783892,17.044149990761618,4.308744565029712,-10.736099817479207,-16.43252638491865,14.890946123877288,-20.098364538725107,-18.60615065073187,-0.8306372180801681,8.888091647790569,-6.088774860487908,-11.742139717157698,-29.281740215319147,-8.141320635020259,-3.400702375118722,9.33362061903488,-16.61257779049877
