feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
V2,0.00886721975373629,0.009606392097446624,-0.04965800231320023,0.013638257040757407,0.010299157682724438,-0.03419929594613386,0.013777776589013514,0.01656036816471115,0.03995645351466295,0.0062340096074615945,-0.006087849371179038,-0.011936688778252033,0.0026999178609601977,0.01254878063104175,0.00954390121025869,0.014619030343348032,-0.012137096319818977,-0.019543463733509864,0.006457269792659959,-0.007229592200071901,0.002854007277197856,0.011325208864599366,0.008502956688999823,-0.0015033801147593916,-0.0013482107526310823,0.012293632910346861,0.010972791854864165,0.008780323103206755,-0.005942043105679891,0.008120588796282973
V3,-0.012958495889168364,-0.010131075259641546,-7.249250822257771e-4,-0.003208978324394506,-0.0207908406147409,-0.014664454987175791,0.016701305392825765,0.015638717243684923,-0.013630540799221212,0.00914665001977196,0.0036626878974642223,0.011702392629298038,-0.004251634808146019,-0.02549844470426633,-0.022531978369756265,-0.03161495576229103,-0.004989590934651553,-0.03031411583624133,0.005025756716954727,-0.013238993719091338,-0.04120968072049351,-0.03588528398253018,-0.0011164277049523024,0.029850708934070953,-0.018479498997932945,0.031885997958682265,-0.025484079733948235,-0.029282208938954626,-0.0073721501933663855,-0.011806823783959312
V4,0.0077037083232994194,0.016161872621946963,0.017157532334492954,0.0027413200427553112,-0.011216322547998741,-0.0035280156108911404,0.015245604518561528,0.031020850995114535,-0.015458009935893578,-0.013545440303651428,-0.017100545848810295,0.013437500631987422,-0.016109457871450683,0.009771830082883882,0.023178977640127784,-0.010113511772131264,0.018922994764407817,0.002151644700493364,0.03955414702858803,0.017520670970541552,0.01600053211340895,0.01845960479059261,0.009596701713193118,-0.05179059284124736,-0.018736947813336353,0.0029128887713262574,-0.011137685183542557,-0.01366369837242948,-0.028957664281670518,0.020395148485505374
V5,-0.010369870334675194,-0.01925311297267868,-0.013157987479936148,0.007387601620694989,0.010699759259648053,-0.03549664279789919,-0.017365211692346644,-0.01273852804677615,-0.0025801821299791046,0.016796947131647075,-0.006018970781981166,-0.016828073715892206,-0.004911017055459723,-0.008946598007000888,0.019908999251605237,-0.039611647740498,-0.017424424359504725,-0.010714164852241595,0.005343610495623158,0.00173856970509626,2.1400062588662505e-4,0.0035206699295477896,0.004308401952515167,0.005352151220868059,0.0037565810594685973,-0.015307283461271182,0.01410638310077737,-0.008241634198159575,-5.547508625166854e-4,0.0030524838259665277
V6,0.022064934927207992,0.0043070678407877054,-0.02894747304737127,-0.023186573191280566,0.02938818266602602,-0.013220363471430588,-0.01668086522900184,0.015897079592530762,0.01116559831936629,0.009643551280002736,1.1118934640722373e-4,-0.018234289619411218,0.034086724473756054,0.0012222274237178163,-0.007432435455235136,-0.0016151813748187351,-0.017948205480911084,0.019201542036176588,1.807726938593757e-4,0.018148140475492527,0.02183599201305512,0.01627596338341951,0.0039262602735188265,-0.03291781995001391,0.011451124618493992,0.00688885043384321,-0.0019777560771900757,-0.0064240628282904964,0.015602078203716348,-0.03209803388627173
V7,0.022651600727353137,-0.02858581716871919,0.0031135652523112253,-0.017102934973983488,0.021630256988905174,-0.024808172738022875,0.02297444380184283,0.006939707177086453,-0.0193872220855034,0.018331591834702156,-0.0017104611046552796,0.0030207132737011646,0.021499043212788973,-0.013871426075644832,-0.020798956774310196,-0.007828681418756879,0.012491681563959764,0.022042444663267068,-0.008469718049774122,-0.012049621625760776,0.02062617215151525,0.0063195987862013445,-0.03009499645511552,-0.009806769889008174,0.013115299701391862,0.009827487304558253,0.007118526830963621,0.006149473003322486,0.012595713558471281,0.003642811644459251
V8,-0.011941514560235756,0.03157160687374977,-0.019272746626295755,0.004922788370949952,0.03033775756083445,-0.004929958510131163,-0.012170660039776807,0.01427449653490136,-0.02694538010148878,0.015979609196546438,0.004035591778015292,-0.017034765501703478,0.040452057470158294,-0.003162087512349425,-0.01772646467985637,0.0036228146091223184,-0.009740070063516829,-0.0034800228396571235,0.01579373812094843,-0.0035130212317562976,0.016384013912332802,0.008458969436589196,-0.013855326605135462,-0.013700543395418756,0.019304818702651924,8.87599172291061e-4,0.03192656386903674,-0.00304117563840671,0.010614329084583351,-0.01521521217805527
V9,0.013782615029706997,0.002251215219214774,-0.012885038702684301,-0.015362018731711233,-0.005848831744365421,-0.013140738763934044,0.01848086906069169,0.004961898529551002,-0.02391591251080433,0.007806883614845023,-0.01770244111918088,-6.385986930808512e-4,0.008130605791635328,-0.0028963680804274866,0.013050937844185742,0.009621875825717139,0.011486676342836512,-0.02794734937538346,0.016588223215494538,-0.00461054921896659,0.009808082062054897,0.00904559353321922,0.019061032331503757,0.0014347204901210618,0.020460648367535233,-0.0018770901319768573,-0.01975112854498409,0.013518797520706904,0.016974265081744412,-0.0014655652146068265
V10,-0.01600799359839351,0.010000079103916449,-0.010216382881874429,0.0034377669432574423,0.012690436398446053,0.02615921172602549,-0.0025576190137615983,-0.007647649546885951,0.017635653432158317,0.004483708278306823,0.038768440636838514,-0.011597191143446147,-0.015273168932316656,0.015324649589063858,0.036561499566107,5.233389282069641e-4,0.009949623529946005,0.02077799825625434,-0.007792410531781665,-0.008549733613587986,0.002482880978110846,0.009807164109486887,-0.025842969629082047,0.015593482704689304,-0.034638453603952735,0.038098909505226916,-0.009434346847204407,0.009869304140326557,-0.013589530811030932,-0.0016300136646935708
V11,0.029884238063876484,0.014022138724704807,0.009574757723215364,0.03887186442783203,1.1981939893214165e-4,-0.023227868818792893,-0.006086147407746514,-0.022254717401240024,-0.03626328607688255,0.009943508146633438,-0.0012860233069935548,0.00847326763732565,0.01190148156983607,0.019477544158244417,0.011318501764139222,-0.016722516048994884,-0.01624299469822355,0.0024597696787943277,-0.0020546723316431864,-0.006384946448456736,0.010350111135047932,0.017347334382544773,-0.005216345982039317,-0.006116431662222861,0.0035021100268494147,-0.013503668424065694,-0.015803707073722795,0.003834995723806914,-0.0021145488832720965,0.0013123065807802725
