cell_line,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
BR:MCF7,-1.3388075060884612,15.163874806223973,-18.80004521864444,2.9574431370567686,-10.135636887893126,5.8643189771909014,-4.229452999675651,1.1141877690388011,-5.784249994991127,3.7770014975517263,-11.18409921409429,11.499347630458251,-4.093441525153501,4.320299786382662,-7.092964211676783,9.948801342099216,0.8251396801552888,-4.2433500041497965,-5.941816983279544,20.98045379234959,-6.965878138570373,-1.747386216236755,-12.107364118437092,3.226740119983956,6.187147639694855,3.751630780480931,-6.758431529871251,-9.862723955170424,-1.9646824544641623,11.791426751467435
BR:MDA-MB-231,14.592590849520956,14.159618349337553,14.505904208855668,3.985680945515511,2.6846948011907465,-1.418796025833552,13.838972559545734,6.9689898975376225,4.352476152939142,1.6107984091330363,7.318668402852901,5.055267907578725,4.352664881695226,-0.7573023153501441,-1.6345139223689806,-9.494102674543557,-7.986766420275547,5.795505127338472,1.9512361011381312,6.022719594206908,-6.280828203444537,3.2161815312988,4.528152759920309,4.018618228267009,-5.170615287399006,-4.8349362466832035,-3.8747323101018134,-1.3041846108522115,-5.399413834820593,0.1942023076486027
BR:HS 578T,4.79803154759791,-36.45461791597797,27.042107935157908,-6.82970861189536,3.183519184791517,0.4809322928286544,-14.47325229285756,2.132172373186465,-13.4115987245366,2.530647610402925,-33.472996734361175,-2.14188678104197,4.081792373460026,9.690528881248278,1.7687924636792582,-0.6523604970644714,-18.571671733372582,-3.4533249651123614,9.3977673974116,-1.1376664908759904,2.577202398499739,8.951341278481145,-0.1692036870424727,7.201500649271467,4.791890100027165,-2.0118404150913745,-2.340329869628897,0.5741769348564302,6.865277000117109,0.3857844446754717
BR:BT-549,23.44896988959132,-13.121019256081285,8.73472325202762,-6.115169666104489,3.011069583525405,-9.288490589090728,-9.774668130633817,11.375372749191234,-1.4703219380041723,-9.58957954624396,14.134653366431758,7.126265918988845,12.90830098047427,6.105626285024349,-2.7962851462061327,-8.406173859177695,11.954089551352368,-22.043447730698688,5.554652411445629,9.685760158225412,7.8773852533321005,-0.5429627587593167,-0.1586485393022726,1.4333597724034857,5.716118126914128,-0.2192687815395162,9.261826379001386,-4.545344648259552,2.339326981325907,7.62887463394209
BR:T-47D,-21.435779369388612,9.110716503550076,-3.905373879877256,9.18822101662452,-10.077942914244185,18.88251836217184,-12.057426480813644,2.967186470395791,-7.254526309174192,-3.1509520003779135,4.383011017288177,27.54069906375899,-3.5446367889144645,1.3080416538194115,-20.18839552879286,5.7986672279874005,2.743875486076544,4.706813062796514,1.8253796916456009,-4.3049239920013145,-11.564048351009742,7.45825228318685,6.941817779677276,5.798484646487198,-1.5634389414818204,-2.5903380888061047,-2.605496005201057,14.271422707875264,1.166293567646744,-2.475351506724379
CNS:SF-268,25.81704379622241,-17.40231389762544,7.479655160108376,-9.167397468525063,1.1016744383021675,-8.849971426892807,-6.0221918070713825,-1.2539619209852,3.756902654628208,3.4622489662254403,8.9411475778066,2.806434995450216,9.132880106121537,-6.606400439531,-4.072454041526115,-3.5357457687931197,-6.560071839749815,1.46957528097555,-10.178254203995904,3.5627356630166047,-2.5987832251520797,8.195947925557581,0.0881130854004847,7.37365389534384,11.308345923708975,-3.0199544799246825,-5.42172846693603,3.7858681272760184,-6.544362508091966,-10.119686752039074
CNS:SF-295,-23.91619907659063,-10.113849086474934,-2.1402062535391826,-1.7718021836240072,5.652085627227151,-12.122971557874024,9.076577891126362,5.519905375978367,-7.603795712047308,8.297979508297422,3.4990260391661674,-6.7348829280915785,-2.843432393288281,3.45125670747512,-1.5225356245801296,1.185843836210257,6.563085262323217,7.025614148728997,-4.094990758252704,-0.1715094601953412,0.2611047138481731,-1.510521121772482,-4.015493478357745,4.702020727573076,3.838445639522649,-10.337391114526516,-6.3086114924179,-11.299709269630805,1.7968324359143917,7.664296859471412
CNS:SF-539,0.7216101633566928,-32.68607668027377,-5.149154848695332,-4.362324561434859,7.162298588185442,-11.040719954539078,3.728840932986845,18.76646227111394,-15.840065657664953,2.9145917027447683,-1.176530962691074,7.715092347720493,-17.66953996397835,-1.9599726137367044,2.719345969685203,-10.509308298248392,8.980691469593156,-8.006349333921873,-1.961186965512455,-8.711990785806773,-17.057523086965137,-3.7924691813516302,-0.7514390756070547,-0.4419878191887811,6.974018695569352,11.682377517554649,1.2195534821081913,0.0979785927264464,7.761552295469099,-8.410437720896724
CNS:SNB-19,22.337963647399462,-19.926553955047098,6.498846727092989,-9.476410692072132,-1.0885399078089266,-9.390215799538554,-10.73602717814521,-5.294570716982456,-7.863658078033531,7.566959241600293,9.29934679805767,-14.049587661945337,4.6586249857691735,2.040791721346826,1.4188947083969026,12.400215684381967,9.038112682982218,18.243939792992613,-4.7696653716971396,3.9046448845593007,-8.622010269588099,0.7716585685154044,-5.173465141984069,9.317175254283088,-4.607375692990498,-4.204403654022333,2.35180546807395,1.063525049448705,3.462561310423207,4.026687639001194
CNS:SNB-75,-1.177155810777068,-15.174912015641793,35.640814342826104,-1.2888149512982991,12.69914172782524,8.63345562347581,-5.285748179313402,-4.52055493832649,-10.009480465152096,4.7804682244236565,0.0752837982731374,-5.869599111059963,8.22660238924897,0.67334255266433,-13.95810974719056,-2.2402971309887945,10.17349218850299,2.2125844147004914,3.2688775218600172,-8.47825584756944,-3.3610637526241556,-13.762491259703753,-1.2336571135873722,-10.95255802438631,1.8955486884817792,0.0239146750227827,0.9371910682529642,-1.7758752447565769,-16.39852719275579,-0.9427899383000896
CNS:U251,-19.951392285772727,-9.174523752914045,4.120415945735177,-3.0646646158177147,-0.8666256145907926,-13.788423181524776,0.4801042468755633,0.6197936586126866,-7.633519339088229,6.086212295482009,4.527592335211133,-7.501217419068756,1.2711812979292565,3.0902996503037623,-1.1086142536355252,6.824935970508672,11.87844297413658,7.843531831306095,-3.9282602090795735,-0.3487097918261201,-4.472001710619457,6.4508664354776,4.789704520269273,1.1989283884334627,-0.9773977241476456,-4.972056214103642,-0.1961524966895984,1.913523806497268,1.5011240364276357,-7.907759686820758
CO:COLO 205,-38.705764057023245,4.195195261882011,-3.3384120732719627,-13.151450895736527,-12.810211581425405,16.692447360034915,1.4891700239388563,-12.119676181788108,-4.7785421161261254,3.796437186452122,8.059617763038492,-8.369733600350513,11.254526892482303,-1.7792406659349538,9.308490977624947,-15.155279837259164,4.3274896629575075,-5.9692745719603675,15.562619660608926,0.3540769967186051,-8.568548653067559,9.16785642778891,3.3699889096155413,-7.392609795196664,7.027911480106425,-7.712692798642752,-2.957483163288912,2.4007276007780622,10.84106040528515,10.162785490592851
CO:HCC-2998,-14.176955753579325,-10.091949433241252,-21.9820825294433,-3.3917385436937373,-18.30921796623864,8.986624078284342,1.2417487784698569,-1.03092409932365,-5.018913499808872,-4.843400185994253,-2.130628209334047,-8.652045044767128,18.534279877965783,-11.799802740767928,-0.3635875129278351,-2.9761942900571654,-8.858907254821782,-2.2014121461733853,-5.999482553010625,-9.773123782578477,4.315007203124586,-1.566747398812875,-15.188210481421851,19.152570081983445,3.2888419847561203,7.475329206766231,6.209713570632448,-1.2855560995399182,-3.517535022964673,-6.554371352294574
CO:HCT-116,17.72912679062302,35.13290643019216,0.9222703940613644,-12.430929782478236,-3.432773478686073,-5.076478545560373,17.57589944235234,-1.6534090473087104,1.8162616152798412,5.424783109514875,-10.767972684481968,3.011575911226952,9.638557606886598,16.420236510359103,8.179717782333793,-0.6841986089792446,-5.107723619059855,1.3234248531451274,-2.602724201353654,-1.3954070079386816,-9.839104444155389,-4.816558150542171,6.420370054163842,3.717747447189869,-7.529604231915477,-5.495934539223951,6.0634107898240295,4.480707158068543,0.4822571436348539,1.707461557516348
CO:HCT-15,-2.2450484448478742,19.00054065626803,-2.897771705332926,3.137971229558584,-8.93157769208746,4.547069126061898,-0.9215434726042568,1.2160879453200288,0.4966112860494905,-4.789379234458868,-4.887282743387707,0.7339581819381715,10.215238624208094,0.679951203254021,5.4184245442171965,-1.9974267042938896,12.82242765801514,-1.0503909790179968,0.0616145146045916,-5.429952854600359,-9.972996064637917,0.949631678824276,-3.9747204314425306,-2.2180209520835574,-0.1782239837594426,8.481035194692513,4.637128202425277,-5.686838338993307,-10.92001445283213,-6.274536250108405
CO:HT29,5.395668147498351,20.3938664468175,1.1931425896511123,14.699738626597808,-7.840324142613225,14.16833599911101,1.858365513997607,7.319412555773976,-5.237450739104694,2.303468673351666,-2.823459979563217,-4.389144188884578,-0.4185223344697812,-5.656063944649068,3.5022786742505914,-3.455035394421756,0.1256938408219473,2.2874808072544486,4.052875159776075,5.282128142438989,-6.310791797462905,0.896600947723344,-1.7993332692425716,-7.651903179273779,3.9621496013673383,4.296906634578,1.246435009239959,-4.120943333187191,-1.4963314610649652,-5.516221287530833
CO:KM12,-25.45107618131081,13.178578348990726,-11.11480613971989,2.6295281365624397,-10.148743300672727,3.5949096759935015,4.370129172270488,3.6433578471046775,-5.719351394636472,10.257249141335768,1.8756981335557168,-8.221422193704155,4.7724157742075395,-2.392676241742469,0.8514170951945259,-6.428365503104404,-0.8743225656981513,1.596970745596556,1.9760054473750648,-0.6040402880728758,4.417470877044046,-7.150304456317685,1.4895063179561234,-1.9897361416367445,-1.943766764143757,6.60835457694747,-3.615624895128714,-0.8209037087111546,5.74692964039471,-8.15103924786244
CO:SW-620,20.27515740475632,29.200261106635296,-1.329900423659079,3.4516638127116326,0.1619886824823422,4.245396591148656,2.892088202186331,0.9106395499411224,-0.892595321016727,5.327060468816455,1.5996166008649213,-3.790048379235001,3.309835410149654,-0.2674390559563943,3.1257742607853496,6.063514137690579,-1.9379257666151424,3.039187654171016,2.7142061073995416,6.8827764481183324,-0.4672334949512067,2.2139789541714365,-3.196214885419588,-1.7345710751627814,2.4485478699766214,8.836753269474597,-4.690060883943235,-8.279907631625727,-0.9149297304127892,-3.065303545635764
LE:CCRF-CEM,10.484272180426478,37.13267260202922,10.257275102539994,-39.92347758988043,10.810734001304288,0.7662470973244058,14.677456503444173,-12.46858070430592,-18.68380795052543,-7.660200565434513,-5.979284622210012,10.726078478312022,-4.153944987015532,-10.711224362502747,-2.415786275926837,0.7629351291087468,0.6049644863072882,-0.8902285804256624,-3.625296653641221,-0.0080631075694343,2.414907584582654,-2.734334032925449,0.6690203931916057,3.5442179113348886,-0.7198329745699484,-5.413485654100696,-2.3166667881760787,-2.779046562886753,2.206148076482497,0.0090427220924461
LE:HL-60(TB),-26.531408909414004,-3.4008654279338817,2.240216614389507,-50.21237310727373,11.80639737293479,22.755686375998277,-7.063091908106027,24.158534519986453,33.2401424871851,1.850618022874532,-2.937227926544344,-7.304324054054755,-4.140550864548329,-4.043022190543814,-3.6250392172177,7.479847583976255,3.5637761606926355,-0.5455410667599897,-0.8198578820036968,3.0304675192604944,-2.4147352231850325,0.4911336439405491,1.2260117980764584,1.6927095524623772,-0.5504143694087352,0.278825562033984,0.7841962246078209,-0.9931769565033156,0.4637399335442125,-2.0614808232940787
LE:K-562,-16.837040749062297,36.79320816273252,-12.783280815546089,7.3847343284398175,4.600044557476539,-13.12658566462465,-9.198594075028389,15.25217500080761,4.193208510007114,8.494932351059102,-6.526483658713159,1.250504186300076,-8.22480339486389,7.776692925929403,5.8438509348837275,1.5247348700811745,-2.8003730749778195,-0.4054384625706214,13.12794158654864,-9.403998777625144,2.952459178001709,-5.059587864370682,-1.2396284761548142,8.73343301585256,-1.9408173091810943,-4.455118474990866,-0.7895398563651516,-3.209516789683146,-10.31528809751612,-4.096504137454378
LE:MOLT-4,14.227240639262153,45.32489310165767,4.6556401311401485,-14.403913978241018,9.206719258323126,-4.7549747030841445,-15.276897581158474,-8.772115458831406,-12.402094976134665,0.8830978868568029,6.466061339612904,-2.205944929441576,-11.288174610608898,-18.672273858302653,9.092124575473015,5.7750775074546725,-2.8969056355028577,-3.0021334903599115,10.115141307280592,2.99911521269706,5.924405605106475,-1.6554854413078053,0.5649586557431489,0.0649359818544855,4.2978914978628024,-1.0247478450137135,8.395902611037835,2.15590143461727,1.9018023626542768,-3.4301552304949627
LE:RPMI-8226,-25.5332157496265,18.536534052239343,-9.259313480653129,-10.8273945474572,4.5284537694188955,0.1113329612468199,-18.17774270371884,5.461138971742737,-6.902755737425626,-18.031792633943695,9.165452470273332,3.624162126171935,1.6852258041087556,24.378761667420864,5.244190086728708,-5.73472016440874,-12.0039880637639,19.057284883976124,-11.094329265012544,-3.6509532624648906,6.280404430544137,-2.2309692393599,-1.0586113823110217,-12.996597603182574,10.438987652012512,2.6719938347435512,9.823082803551356,-0.353486139181963,-0.5461708377666966,3.988825535265938
LE:SR,-24.664390669186037,16.617883358934332,9.833339402078384,-1.563458611991629,5.483066805734272,-3.637036081588767,-9.985437490431268,0.4978328465995991,-6.3929163885651,-11.13370500731728,7.555478488197403,-7.993165416774675,-13.46738935736868,-2.5348601587916137,-0.5694387270389931,-10.531276318638636,-5.420062379979076,-9.609796407488314,-13.170365274784608,-4.5561264640684245,5.098424329820153,1.3000233932994574,-10.278235753313067,1.7356831132679376,-14.66837711916067,-3.616505273474177,-15.184469966435117,5.5387881825006975,-2.5854186521325406,-0.1802009702472613
ME:LOX IMVI,13.410746205038445,9.288213802502636,-2.4828943487196655,12.79216095846628,4.735638628264387,-9.420647835773572,-0.7258135611484597,5.580389312449313,7.466317316673672,-2.3319504833392055,-8.580119175620014,-5.468940433418084,-7.235310319342194,-5.097514106312311,1.233257401802735,-8.710142069864581,-1.384719578781129,-4.110216974931122,-1.6775144399674151,-3.0305528799903714,-5.795267403119488,-1.9785795454610209,0.5904269273631266,1.7238325876176346,6.573879882845238,0.4284535222988977,6.373475354781983,6.162340832289606,-5.808375883431613,9.906438582060076
ME:MALME-3M,-2.129077622248471,-15.1832138643524,-0.0212956497125323,9.653656919720182,21.04767041619701,15.65887271338132,-1.138046467223334,-18.68340183799324,2.7487598288266253,-7.033354412014939,-0.0559632186528957,3.1491191994729997,-2.522785460858974,-1.6816586431726837,3.283213111240984,6.025685066184191,-2.885176912750089,-1.5255585885086318,0.6169667817205814,-8.946308779741678,-10.304979231477564,-0.5339119292643715,3.392814153456429,1.600994751610086,-7.612296592998894,-1.4974620511047698,2.314159617978225,-12.417032072312452,-2.3944018034270447,6.0165867726067175
