cell_line,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
BR:MCF7,-160.7237055782721,47.09835484562096,-9.868951535737786,5.38441646328071,-70.45201660012393,10.73600431119094,-16.24017195412268,18.761760588675536,-41.134080740030974,68.09941843967827,-46.04721528817271,37.63328581496794,-29.669954652282893,10.91338313448365,-5.560522371923027,4.715993204668349,29.543868955779008,-8.531144815001467,4.7300997115923735,3.1453133540566656,3.904250395488128,11.820911703473628,-2.1219103708465705,-10.208200095587513,4.875289404076548,13.65946644776218,15.55038905491936,-24.134172162401004,-3.0885202259948143,-5.66429196784423
BR:MDA-MB-231,-13.71141777562818,-9.926585063105348,0.5047507692267122,-26.939831547035343,-26.05255274261707,-60.816535784745746,26.517289715558206,-17.859231391174603,17.43537731872185,65.20133337860412,0.697560947368678,-32.993093886249056,16.116402493814956,-38.280404956728674,43.96095153811588,-52.123638191417385,-33.544483353452414,26.531469733935907,14.39659394797288,45.78461726528818,10.463925600748995,-6.652607271295854,-3.3071266987417514,1.6273496778311434,7.756761172274598,17.368416229576088,8.48993790872928,17.40284156624668,-15.162516565822154,-4.541535260211862
BR:HS 578T,79.30404587881222,-39.58424332985846,13.222178442293222,-19.007562224401685,-8.664895631448285,-13.961209305028778,-0.4670066368466332,-35.18719342649685,2.9232013648374062,-3.762733859259358,-10.398418834120536,25.13737152771044,14.221323991189658,22.72972115607106,-0.8335062858130529,10.892338443638186,3.3388150831240773,-13.476268250451112,5.252126696533695,9.59027415764617,-26.186897554741694,-17.36910860415117,-24.962557353758708,-18.95449154588795,-1.4344117163189662,-4.64594180219599,4.604315038584813,7.941744927736289,-13.534774466944812,0.3211530099447701
BR:BT-549,0.2681927181018654,-14.503899901781542,17.852708983993562,-23.682363210966,-17.92102690018707,-12.808474259188383,-20.51570008059065,-27.622820852197695,-6.9633938449875235,-15.765620087740809,-18.356571042396375,16.89610043579493,-4.758099888332453,-10.325481645583933,-20.8138633589886,10.744041857792988,-16.041970958472472,-21.564647251315037,15.561833514325729,18.18483971805838,-11.805984207557913,0.4703708238166613,-17.197312611837813,34.76419667931771,-37.17082676490306,-15.227318343172517,17.950372273732565,23.516444429890928,-0.6810411759928748,-6.626501823054653
BR:T-47D,54.41583972799488,18.524103606124346,-61.05725844327935,33.534059676460885,-51.67613727784266,21.916545609871804,-1.9714044772464057,4.158918403686078,-20.93286746151017,36.137808531787414,-25.54285563423248,31.572666955318557,-13.704959927194746,9.881874359187249,25.88424686366034,-26.97890069003403,27.522883109537812,-21.44587336756955,-26.037806346532,-2.904233048551641,-12.91299671977219,3.668954214903866,-2.722436046166695,13.073738834083846,-4.318720018972881,-8.731207673271733,-1.031632574486607,44.6864039953771,6.305590016755533,3.574402125346542
CNS:SF-268,-35.54970665411058,-34.319051916720646,42.941524366408935,-50.33779547961188,-19.007357097750877,-49.33812888193257,-9.884903674978704,-29.585395874354273,-6.338220237602015,20.260156560789067,-2.1311879046898463,-0.3001775525464349,28.294104410714883,33.23785798743523,23.571226702909374,6.604361280938516,-5.1621026473220235,-11.052877906314464,-25.05023586888708,-18.94621202048975,-2.050470905590602,-4.366825685081341,-5.039170172717891,-15.9287781505153,-0.7076214677682104,-9.670595859491266,-7.7921411050930205,-28.545537650697284,16.23563186889511,-1.1438559988684427
CNS:SF-295,9.638216711802553,-28.757197349169974,23.34803554641974,-16.03632192083271,24.62545805642063,-10.625523033986846,-1.4336929964430765,-20.120960010391045,-21.093146149551583,-8.083157889720825,-21.603234005461797,-23.376503238778746,-24.77320093425189,11.334029754643032,-15.00846327194135,10.298657218642717,13.420228086753752,14.853425594082172,-6.038407501831037,-1.0792526552482415,11.6780285681303,35.119068070625254,15.19843623770795,-10.616057571332457,-7.667589869654273,18.409178432103797,12.746858658238452,0.9546194326259776,-31.808740446532266,7.680600544161471
CNS:SF-539,62.83695412952075,-15.2198126539441,5.80465295474581,-11.42024597870593,-1.4356485900683893,-5.823429128679129,1.7565650953903178,-22.43942975486135,7.203950292985566,0.4374576919728234,-26.217769133396725,-11.56134924439715,-19.79706013463206,14.319125989514134,-13.156129251897434,16.402111646608024,-3.1688763645821867,-12.817574837882423,8.252022230090253,3.0441966570092993,-9.899456827698552,6.055932703603319,-20.44775164890448,7.913093226557065,-2.6784851886713783,-8.234501535778616,-3.408126769240909,8.041110142008488,-19.1501897541294,-5.255084855951934
CNS:SNB-19,48.91656790545926,-22.05662970227491,12.203623371871126,-5.13614265062507,5.101791750576037,-18.975135177383237,-17.4623336156197,-22.434485361024898,-3.4763385689798727,-7.755650089556959,-19.559349948626355,-45.55268197272821,-18.027324284785227,9.939637868330625,-11.022872531064133,5.496740488727278,20.86996781961907,9.818628695740708,-16.046371201571745,-9.705408085238473,23.231507005193663,16.98199468405063,2.027021373273284,10.661092450567038,7.127629149495304,16.504792683786526,5.118367317900888,1.384149116565133,14.887578104226192,18.54857499910289
CNS:SNB-75,104.43673928201426,-1.8924257882421724,8.195078547699506,16.291386202752822,-7.497285719832583,-12.37023764996152,-11.57882396887764,-20.74972050331028,2.046168764241923,-3.354245787484503,-10.49011401590687,-24.731912711499135,-12.57296754944116,11.067147001611476,-8.911582793526062,3.410304282946792,-0.8171172796046745,-8.149040200000206,-10.259251877379372,1.2994589352907997,9.245953218105676,-1.16420691757057,-8.077033748938833,5.576030696553833,-10.878590165424992,5.312169909455755,4.1111710472017835,6.7916429318001805,-6.100965083981503,-4.443444672179396
